,subject,value,hemi,region,sex,age,yeo_label
0,49134,0.03757897259566182,left,98,F,1.131,Default Mode
1,49112,0.04526755724343634,left,98,F,1.982,Default Mode
2,48233,0.04354018726202531,left,98,M,1.988,Default Mode
3,49050,0.0448345483885281,left,98,F,1.993,Default Mode
4,49041,0.045402897095659894,left,98,M,1.996,Default Mode
5,49225,0.042909185331218416,left,98,F,1.999,Default Mode
6,47979,0.04710685528995236,left,98,M,2.001,Default Mode
7,49196,0.04472645192459317,left,98,F,2.004,Default Mode
8,48184,0.04642923965304049,left,98,M,2.007,Default Mode
9,49078,0.041820897278663914,left,98,M,2.01,Default Mode
10,42019,0.04376598235204691,left,98,M,3.816,Default Mode
11,41807,0.04592472836042595,left,98,M,3.904,Default Mode
12,41716,0.04368766776615843,left,98,M,3.907,Default Mode
13,41854,0.040943569621421726,left,98,M,3.915,Default Mode
14,41651,0.04119825737304415,left,98,M,3.948,Default Mode
15,41547,0.043755656887377675,left,98,M,3.973,Default Mode
16,41519,0.044374403284365094,left,98,M,3.981,Default Mode
17,41463,0.0450923531396405,left,98,M,4.074,Default Mode
18,41458,0.04410823192321774,left,98,M,4.112,Default Mode
19,40033,0.04050340236346302,left,98,M,5.899,Default Mode
20,39066,0.04140272484715054,left,98,M,6.877,Default Mode
21,44444,0.04107275995180395,left,98,F,7.149,Default Mode
22,37972,0.04158212841097468,left,98,M,8.016,Default Mode
23,36824,0.04049352688916327,left,98,M,9.775,Default Mode
24,36464,0.03934506264700099,left,98,M,9.945,Default Mode
25,36291,0.045590395462969245,left,98,M,10.036,Default Mode
26,41759,0.03968259951774226,left,98,F,10.259,Default Mode
27,41645,0.03718228785529667,left,98,F,10.322,Default Mode
28,41372,0.03675714852784017,left,98,F,10.957,Default Mode
29,41083,0.03927781519102032,left,98,F,11.154,Default Mode
30,40706,0.03686970815758496,left,98,F,11.231,Default Mode
31,34847,0.03607031473297827,left,98,M,12.027,Default Mode
32,39834,0.040050334401955726,left,98,F,12.255,Default Mode
33,39599,0.03896004201619547,left,98,F,12.329,Default Mode
34,34110,0.03766532347277506,left,98,M,12.929,Default Mode
35,39437,0.039290733291009704,left,98,F,13.005,Default Mode
36,33111,0.04263027255614309,left,98,M,13.992,Default Mode
37,32479,0.03956065581010485,left,98,M,14.921,Default Mode
38,32287,0.04165536535858223,left,98,M,14.984,Default Mode
39,37169,0.03919224470547582,left,98,F,15.107,Default Mode
40,37693,0.03786357368796088,left,98,F,15.14,Default Mode
41,36831,0.03601117855289517,left,98,F,15.775,Default Mode
42,36374,0.03659578812682408,left,98,F,15.836,Default Mode
43,36422,0.03530811771311008,left,98,M,15.932,Default Mode
44,36574,0.036181028214040865,left,98,M,16.041,Default Mode
45,36657,0.034442160291016356,left,98,F,16.255,Default Mode
46,36352,0.03744655561388982,left,98,M,16.444,Default Mode
47,35949,0.03609058238186745,left,98,M,16.956,Default Mode
48,35671,0.03822011943481338,left,98,F,16.992,Default Mode
49,35545,0.03736182039168645,left,98,F,17.129,Default Mode
50,35580,0.03560799709341649,left,98,M,17.273,Default Mode
51,35306,0.038146093813519966,left,98,M,17.614,Default Mode
52,34839,0.03747432558225828,left,98,F,18.022,Default Mode
53,35241,0.03557213941163927,left,98,F,18.114,Default Mode
54,34884,0.03520569997719398,left,98,M,18.311,Default Mode
55,33825,0.03868340578094524,left,98,M,18.855,Default Mode
56,33734,0.03709459274863939,left,98,M,19.082,Default Mode
57,35253,0.03435965246205849,left,98,M,19.154,Default Mode
58,33278,0.03833227541240528,left,98,F,19.764,Default Mode
59,33199,0.037963996400050416,left,98,F,19.901,Default Mode
60,33002,0.03577045156662606,left,98,F,20.339,Default Mode
61,33882,0.03481936585014981,left,98,F,21.607,Default Mode
62,32924,0.03684480776909874,left,98,F,22.563,Default Mode
63,29949,0.03742432764682011,left,98,F,26.428,Default Mode
64,49134,0.04035616855814213,right,98,F,1.131,Default Mode
65,49112,0.04380936560726095,right,98,F,1.982,Default Mode
66,48233,0.04214345386371518,right,98,M,1.988,Default Mode
67,49050,0.0458069128286378,right,98,F,1.993,Default Mode
68,49041,0.04491057413178194,right,98,M,1.996,Default Mode
69,49225,0.04331065015458714,right,98,F,1.999,Default Mode
70,47979,0.048028450656188174,right,98,M,2.001,Default Mode
71,49196,0.04715698079572001,right,98,F,2.004,Default Mode
72,48184,0.04815243377491926,right,98,M,2.007,Default Mode
73,49078,0.04177035770497258,right,98,M,2.01,Default Mode
74,42019,0.04316511870289076,right,98,M,3.816,Default Mode
75,41807,0.04515688156017837,right,98,M,3.904,Default Mode
76,41716,0.04453480273710218,right,98,M,3.907,Default Mode
77,41854,0.04212255246182814,right,98,M,3.915,Default Mode
78,41651,0.04253877063014976,right,98,M,3.948,Default Mode
79,41547,0.04197061766311319,right,98,M,3.973,Default Mode
80,41519,0.045481884062183835,right,98,M,3.981,Default Mode
